"sample","n_CpG_covered","mean_coverage","median_coverage","global_pct_meth","site","pah"
"105M",18406826,8.81148737973619,7,10.6942295964126,"HC",0
"106M",18236271,8.10878616576821,7,11.9686857506317,"HC",0
"107M",18411128,8.77447693590529,7,12.1440542836001,"HC",0
"109M",18449061,8.89217727666465,8,11.7157019680325,"HC",0
"239M",18664539,9.7052960697288,8,12.2245461018475,"AP",0
"240M",18461218,8.98800100838417,7,12.646067654562,"AP",0
"241M",18260327,8.58459073597094,7,11.1175167615974,"AP",0
"242M",18125656,9.62431307313788,7,12.3054821674536,"AP",0
"269M",18479390,9.09764158881868,8,11.2896269994491,"BS",0
"270M",18567451,9.3724372828559,8,10.8516507686056,"BS",0
"271M",18409816,8.59871782531667,7,11.5844382934407,"BS",0
"272M",18384196,8.50602544707422,7,11.6356288174589,"BS",0
"69M",18556653,9.45835900471922,7,12.1216876555269,"EB",1
"70M",18639486,9.60438796434623,7,12.1504257143672,"EB",1
"71M",18499400,9.33198882125907,7,11.2648950080538,"EB",1
"72M",18516075,9.05893884098007,7,11.158537227708,"EB",1
"78M",18600722,9.49022199245814,8,11.1743425141623,"SA",1
"79M",18334331,8.63410036613826,7,11.5550508781232,"SA",1
"80M",18462899,9.01669591541393,8,11.859469926976,"SA",1
"81M",18438174,8.87353216213276,7,10.6650452262805,"SA",1
"92M",18316354,8.6397450060203,7,10.8257734784279,"SC",1
"93M",17161393,7.98448296126078,7,11.6529337561763,"SC",1
"94M",18570694,9.23831424932208,8,11.4757176253584,"SC",1
"95M",18252648,8.19108268564649,7,11.9967721798379,"SC",1
