NC_086373.1:90626338	gene	90602585	90632630	+	LOC134690221	GRAM domain-containing protein 4-like	
NC_086373.1:90626338	mRNA	90602585	90632630	+	LOC134690221		GRAM domain-containing protein 4-like
NC_086373.1:105503509	gene	105380391	105513502	-	LOC134695637	otoferlin-like	
NC_086373.1:105503509	mRNA	105380391	105513502	-	LOC134695637		otoferlin-like%2C transcript variant X2
NC_086373.1:105503509	mRNA	105380391	105513502	-	LOC134695637		otoferlin-like%2C transcript variant X4
NC_086373.1:105503509	mRNA	105380391	105513502	-	LOC134695637		otoferlin-like%2C transcript variant X1
NC_086373.1:105503509	mRNA	105380391	105513501	-	LOC134695637		otoferlin-like%2C transcript variant X3
NC_086374.1:34742951	gene	34630047	34756161	-	LOC134707074	receptor-type tyrosine-protein phosphatase N2-like	
NC_086374.1:34742951	mRNA	34630047	34756161	-	LOC134707074		receptor-type tyrosine-protein phosphatase N2-like%2C transcript variant X2
NC_086374.1:34742951	mRNA	34630047	34756161	-	LOC134707074		receptor-type tyrosine-protein phosphatase N2-like%2C transcript variant X1
NC_086375.1:31938079	gene	31935064	31941257	-	LOC134711256	cancer-related nucleoside-triphosphatase homolog	
NC_086375.1:31938079	mRNA	31935064	31941257	-	LOC134711256		cancer-related nucleoside-triphosphatase homolog%2C transcript variant X3
NC_086375.1:31938079	mRNA	31935064	31941257	-	LOC134711256		cancer-related nucleoside-triphosphatase homolog%2C transcript variant X1
NC_086375.1:31938079	mRNA	31935064	31941221	-	LOC134711256		cancer-related nucleoside-triphosphatase homolog%2C transcript variant X2
NC_086375.1:90876604	gene	90867638	90891015	+	LOC134712818	uncharacterized LOC134712818	
NC_086375.1:90876604	mRNA	90867638	90891015	+	LOC134712818		uncharacterized LOC134712818
NC_086376.1:5631156	gene	5626113	5639140	+	LOC134714536	coatomer subunit epsilon-like	
NC_086376.1:5631156	mRNA	5626113	5639140	+	LOC134714536		coatomer subunit epsilon-like
NC_086376.1:5631156	exon	5631144	5631307	+	LOC134714536		coatomer subunit epsilon-like
NC_086376.1:5631156	CDS	5631144	5631307	+	LOC134714536		coatomer subunit epsilon-like
NC_086378.1:6633121	gene	6588729	6697712	+	LOC134720671	roundabout homolog 1-like	
NC_086378.1:6633121	mRNA	6588729	6697712	+	LOC134720671		roundabout homolog 1-like%2C transcript variant X2
NC_086378.1:6633121	mRNA	6627675	6697712	+	LOC134720671		roundabout homolog 1-like%2C transcript variant X1
NC_086378.1:6633121	mRNA	6627675	6697712	+	LOC134720671		roundabout homolog 1-like%2C transcript variant X4
NC_086378.1:6633121	mRNA	6627675	6697712	+	LOC134720671		roundabout homolog 1-like%2C transcript variant X5
NC_086378.1:6633121	mRNA	6627675	6697712	+	LOC134720671		roundabout homolog 1-like%2C transcript variant X7
NC_086378.1:6633121	mRNA	6627675	6697712	+	LOC134720671		roundabout homolog 1-like%2C transcript variant X6
NC_086378.1:6633121	mRNA	6627675	6697712	+	LOC134720671		roundabout homolog 1-like%2C transcript variant X8
NC_086378.1:6633121	mRNA	6627675	6697712	+	LOC134720671		roundabout homolog 1-like%2C transcript variant X9
NC_086379.1:1603830	gene	1585149	1617687	+	LOC134724475	uncharacterized LOC134724475	
NC_086379.1:1603830	mRNA	1585149	1617685	+	LOC134724475		uncharacterized LOC134724475%2C transcript variant X1
NC_086379.1:1603830	mRNA	1594893	1617687	+	LOC134724475		uncharacterized LOC134724475%2C transcript variant X2
NC_086379.1:47961734	gene	47959226	47965210	-	LOC134725187	membrane protein BRI3-like	
NC_086379.1:47961734	mRNA	47959226	47965210	-	LOC134725187		membrane protein BRI3-like
NC_086379.1:47961734	exon	47961660	47961961	-	LOC134725187		membrane protein BRI3-like
NC_086379.1:47961734	CDS	47961660	47961961	-	LOC134725187		membrane protein BRI3-like
NC_086381.1:21212100	gene	21116727	21261455	-	LOC134685297	tumor protein p53-inducible protein 11-like	
NC_086381.1:21212100	mRNA	21116727	21261455	-	LOC134685297		tumor protein p53-inducible protein 11-like%2C transcript variant X4
NC_086381.1:21212100	mRNA	21116727	21220587	-	LOC134685297		tumor protein p53-inducible protein 11-like%2C transcript variant X5
NC_086382.1:25952234	gene	25951921	25959192	+	LOC134687110	alpha-ketoglutarate-dependent dioxygenase alkB homolog 3-like	
NC_086382.1:25952234	mRNA	25951921	25959192	+	LOC134687110		alpha-ketoglutarate-dependent dioxygenase alkB homolog 3-like
NC_086382.1:36708761	gene	36708321	36799106	+	LOC134687290	mitogen-activated protein kinase kinase kinase 5-like	
NC_086382.1:36708761	mRNA	36708321	36799106	+	LOC134687290		mitogen-activated protein kinase kinase kinase 5-like
